time,distF,distL,distR,distSL,distSR,status,obstacle_count
38.117,66.4,66.28,88.5,24.38,39.61,DRIVING,0
38.246,65.04,65.99,86.02,24.0,39.68,DRIVING,0
38.375,66.4,64.62,81.14,24.14,42.04,DRIVING,0
38.503,74.2,62.65,88.81,23.95,65.59,DRIVING,0
38.634,59.99,59.45,86.24,23.77,60.61,DRIVING,0
38.763,54.25,55.88,91.07,22.98,58.94,DRIVING,0
38.892,51.68,52.96,70.38,22.46,55.74,DRIVING,0
39.019,49.61,49.57,66.71,21.76,60.83,DRIVING,0
39.145,44.51,45.78,64.63,21.34,59.11,DRIVING,0
39.271,40.49,42.19,63.44,20.62,54.72,DRIVING,0
39.396,39.15,38.71,52.73,19.67,70.14,DRIVING,0
39.522,32.33,34.92,49.9,18.5,74.99,DRIVING,0
39.646,29.07,19.7,45.14,17.41,76.94,DRIVING,0
39.769,37.26,17.14,41.51,16.15,81.7,DRIVING,0
39.892,21.88,15.62,37.76,14.79,81.99,ADJUST_RIGHT,0
40.215,17.73,8.89,28.44,64.82,85.49,LEFT_OBSTACLE,1
41.038,32.86,29.14,78.39,16.27,77.77,DRIVING,1
41.164,35.24,30.65,77.93,16.69,73.44,DRIVING,1
41.29,79.31,30.72,76.62,16.57,72.1,DRIVING,1
41.419,76.72,28.7,74.12,18.12,78.91,DRIVING,1
41.547,73.29,26.42,70.86,32.33,70.14,DRIVING,1
41.675,68.39,24.11,63.19,28.59,70.07,DRIVING,1
41.802,65.99,22.12,61.71,28.71,69.17,DRIVING,1
41.929,62.19,19.3,57.61,29.85,79.31,DRIVING,1
42.055,58.87,17.37,54.81,32.52,56.05,DRIVING,1
42.18,55.01,14.55,51.9,34.71,92.77,LEFT_OBSTACLE,2
43.008,72.57,48.76,86.65,53.47,91.6,DRIVING,2
43.141,72.57,48.43,87.43,53.81,98.28,DRIVING,2
43.274,72.27,47.74,86.24,52.02,93.06,DRIVING,2
43.407,71.45,58.29,81.82,51.92,90.51,DRIVING,2
43.539,85.27,56.64,80.1,46.5,97.27,DRIVING,2
43.673,77.25,60.69,76.13,52.56,97.27,DRIVING,2
43.808,73.64,54.91,73.76,43.44,77.44,DRIVING,2
43.939,53.64,55.56,71.48,41.45,51.07,DRIVING,2
44.067,47.35,57.07,68.77,42.14,52.94,DRIVING,2
44.195,43.3,57.89,64.48,51.97,54.72,DRIVING,2
44.323,41.7,58.45,59.26,42.99,56.08,DRIVING,2
44.45,55.74,57.44,58.84,51.24,59.06,DRIVING,2
44.579,33.17,56.73,51.24,53.38,59.89,DRIVING,2
44.706,27.71,53.14,52.05,52.89,60.23,DRIVING,2
44.832,23.95,51.02,47.97,52.73,61.01,DRIVING,2
44.959,23.19,46.46,43.42,51.37,55.45,DRIVING,2
45.084,41.41,44.46,40.68,50.54,66.35,DRIVING,2
45.21,12.27,33.83,36.87,47.74,66.16,LEFT_OBSTACLE,3
46.033,30.36,6.83,62.76,34.36,71.08,LEFT_OBSTACLE,4
46.858,77.15,60.89,69.12,55.54,58.68,DRIVING,4
46.989,76.69,61.51,66.67,78.57,56.37,DRIVING,4
47.121,77.4,60.55,64.92,63.22,56.8,DRIVING,4
47.252,76.26,59.99,64.87,62.31,55.68,DRIVING,4
47.383,64.26,58.99,62.31,59.38,55.03,DRIVING,4
47.513,59.93,59.42,59.14,58.51,56.44,DRIVING,4
47.642,56.08,58.19,57.78,57.46,55.25,DRIVING,4
47.771,52.7,58.21,54.04,56.17,54.79,DRIVING,4
47.899,49.18,57.49,50.73,55.18,53.06,DRIVING,4
48.027,45.58,57.09,46.85,54.47,51.12,DRIVING,4
48.154,41.6,58.85,43.04,53.58,49.71,DRIVING,4
48.281,38.08,54.55,39.54,53.21,48.88,DRIVING,4
48.407,34.05,54.04,36.04,52.33,37.18,DRIVING,4
