time,distF,distLeft,distRight,direction,status,obstacle_count
16.484,92.91,-1.0,-1.0,-1,DRIVING,0
16.792,88.25,-1.0,-1.0,-1,DRIVING,0
17.101,83.33,-1.0,-1.0,-1,DRIVING,0
17.409,76.01,-1.0,-1.0,-1,DRIVING,0
17.717,69.51,-1.0,-1.0,-1,DRIVING,0
18.024,61.49,-1.0,-1.0,-1,DRIVING,0
18.33,53.13,-1.0,-1.0,-1,DRIVING,0
18.636,45.41,-1.0,-1.0,-1,DRIVING,0
18.942,38.1,-1.0,-1.0,-1,DRIVING,0
19.248,30.09,-1.0,-1.0,-1,DRIVING,0
19.553,22.13,-1.0,-1.0,-1,DRIVING,0
19.857,14.52,37.55,122.21,RIGHT,OBSTACLE,1
22.476,51.29,-1.0,-1.0,-1,DRIVING,1
22.782,48.65,-1.0,-1.0,-1,DRIVING,1
23.088,45.44,-1.0,-1.0,-1,DRIVING,1
23.394,38.1,-1.0,-1.0,-1,DRIVING,1
23.699,66.69,-1.0,-1.0,-1,DRIVING,1
24.006,58.65,-1.0,-1.0,-1,DRIVING,1
24.312,53.19,-1.0,-1.0,-1,DRIVING,1
24.619,48.33,-1.0,-1.0,-1,DRIVING,1
24.925,86.79,-1.0,-1.0,-1,DRIVING,1
25.233,83.95,-1.0,-1.0,-1,DRIVING,1
25.541,33.41,-1.0,-1.0,-1,DRIVING,1
25.846,27.71,-1.0,-1.0,-1,DRIVING,1
26.151,23.6,-1.0,-1.0,-1,DRIVING,1
26.456,18.28,7.11,86.85,RIGHT,OBSTACLE,2
29.071,58.26,-1.0,-1.0,-1,DRIVING,2
29.377,54.81,-1.0,-1.0,-1,DRIVING,2
29.683,49.42,-1.0,-1.0,-1,DRIVING,2
29.989,42.96,-1.0,-1.0,-1,DRIVING,2
30.296,54.15,-1.0,-1.0,-1,DRIVING,2
30.602,46.65,-1.0,-1.0,-1,DRIVING,2
30.907,42.72,-1.0,-1.0,-1,DRIVING,2
31.213,36.31,-1.0,-1.0,-1,DRIVING,2
31.518,31.23,-1.0,-1.0,-1,DRIVING,2
31.823,22.95,-1.0,-1.0,-1,DRIVING,2
32.128,15.18,7.33,32.88,RIGHT,OBSTACLE,3
34.74,88.28,-1.0,-1.0,-1,DRIVING,3
35.048,95.32,-1.0,-1.0,-1,DRIVING,3
35.356,88.93,-1.0,-1.0,-1,DRIVING,3
35.664,82.62,-1.0,-1.0,-1,DRIVING,3
35.973,75.04,-1.0,-1.0,-1,DRIVING,3
36.28,68.92,-1.0,-1.0,-1,DRIVING,3
36.587,63.82,-1.0,-1.0,-1,DRIVING,3
36.894,55.54,-1.0,-1.0,-1,DRIVING,3
37.2,50.51,-1.0,-1.0,-1,DRIVING,3
37.507,43.4,-1.0,-1.0,-1,DRIVING,3
37.813,35.24,-1.0,-1.0,-1,DRIVING,3
38.118,27.63,-1.0,-1.0,-1,DRIVING,3
38.422,19.58,20.04,30.62,RIGHT,OBSTACLE,4
41.035,61.03,-1.0,-1.0,-1,DRIVING,4
41.341,57.07,-1.0,-1.0,-1,DRIVING,4
41.649,50.58,-1.0,-1.0,-1,DRIVING,4
41.954,43.13,-1.0,-1.0,-1,DRIVING,4
42.26,35.43,-1.0,-1.0,-1,DRIVING,4
42.565,28.32,-1.0,-1.0,-1,DRIVING,4
42.87,34.48,-1.0,-1.0,-1,DRIVING,4
43.175,12.5,12.51,45.76,RIGHT,OBSTACLE,5
45.788,71.66,-1.0,-1.0,-1,DRIVING,5
46.095,70.62,-1.0,-1.0,-1,DRIVING,5
46.402,64.75,-1.0,-1.0,-1,DRIVING,5
46.709,66.84,-1.0,-1.0,-1,DRIVING,5
47.016,58.45,-1.0,-1.0,-1,DRIVING,5
47.323,52.48,-1.0,-1.0,-1,DRIVING,5
47.629,42.96,-1.0,-1.0,-1,DRIVING,5
47.935,34.32,-1.0,-1.0,-1,DRIVING,5
48.24,30.02,-1.0,-1.0,-1,DRIVING,5
48.544,28.65,-1.0,-1.0,-1,DRIVING,5
48.849,22.54,-1.0,-1.0,-1,DRIVING,5
49.154,13.92,5.61,12.44,RIGHT,OBSTACLE,6
51.765,59.25,-1.0,-1.0,-1,DRIVING,6
52.071,55.61,-1.0,-1.0,-1,DRIVING,6
52.377,48.26,-1.0,-1.0,-1,DRIVING,6
52.683,55.08,-1.0,-1.0,-1,DRIVING,6
52.989,47.84,-1.0,-1.0,-1,DRIVING,6
53.296,41.17,-1.0,-1.0,-1,DRIVING,6
53.601,37.4,-1.0,-1.0,-1,DRIVING,6
53.906,31.38,-1.0,-1.0,-1,DRIVING,6
54.211,23.92,-1.0,-1.0,-1,DRIVING,6
54.516,16.49,16.54,76.04,RIGHT,OBSTACLE,7
57.131,67.9,-1.0,-1.0,-1,DRIVING,7
57.438,65.02,-1.0,-1.0,-1,DRIVING,7
57.745,58.6,-1.0,-1.0,-1,DRIVING,7
58.051,51.39,-1.0,-1.0,-1,DRIVING,7
58.357,44.3,-1.0,-1.0,-1,DRIVING,7
58.663,36.96,-1.0,-1.0,-1,DRIVING,7
58.969,29.73,-1.0,-1.0,-1,DRIVING,7
59.274,21.95,-1.0,-1.0,-1,DRIVING,7
59.578,14.33,22.78,61.08,RIGHT,OBSTACLE,8
62.192,78.12,-1.0,-1.0,-1,DRIVING,8
62.5,75.14,-1.0,-1.0,-1,DRIVING,8
62.808,69.8,-1.0,-1.0,-1,DRIVING,8
63.115,60.72,-1.0,-1.0,-1,DRIVING,8
63.421,52.63,-1.0,-1.0,-1,DRIVING,8
63.727,54.06,-1.0,-1.0,-1,DRIVING,8
64.033,41.65,-1.0,-1.0,-1,DRIVING,8
64.339,37.42,-1.0,-1.0,-1,DRIVING,8
64.645,29.78,-1.0,-1.0,-1,DRIVING,8
64.95,32.71,-1.0,-1.0,-1,DRIVING,8
65.255,26.1,-1.0,-1.0,-1,DRIVING,8
65.559,22.7,-1.0,-1.0,-1,DRIVING,8
65.863,10.49,4.66,10.06,RIGHT,OBSTACLE,9
68.473,59.4,-1.0,-1.0,-1,DRIVING,9
68.781,57.27,-1.0,-1.0,-1,DRIVING,9
69.087,50.93,-1.0,-1.0,-1,DRIVING,9
69.393,42.57,-1.0,-1.0,-1,DRIVING,9
69.698,34.29,-1.0,-1.0,-1,DRIVING,9
70.003,27.78,-1.0,-1.0,-1,DRIVING,9
70.308,22.59,-1.0,-1.0,-1,DRIVING,9
70.612,19.02,7.7,97.26,RIGHT,OBSTACLE,10
73.229,89.91,-1.0,-1.0,-1,DRIVING,10
73.537,88.38,-1.0,-1.0,-1,DRIVING,10
73.845,80.95,-1.0,-1.0,-1,DRIVING,10
74.153,74.46,-1.0,-1.0,-1,DRIVING,10
74.461,65.06,-1.0,-1.0,-1,DRIVING,10
74.768,57.44,-1.0,-1.0,-1,DRIVING,10
75.074,48.11,-1.0,-1.0,-1,DRIVING,10
75.38,42.06,-1.0,-1.0,-1,DRIVING,10
75.685,34.78,-1.0,-1.0,-1,DRIVING,10
75.991,27.78,-1.0,-1.0,-1,DRIVING,10
76.296,20.3,-1.0,-1.0,-1,DRIVING,10
76.6,13.87,7.04,22.83,RIGHT,OBSTACLE,11
79.211,53.7,-1.0,-1.0,-1,DRIVING,11
79.517,11.51,8.96,79.31,RIGHT,OBSTACLE,12
82.131,104.92,-1.0,-1.0,-1,DRIVING,12
82.441,96.36,-1.0,-1.0,-1,DRIVING,12
82.75,95.78,-1.0,-1.0,-1,DRIVING,12
83.058,59.79,-1.0,-1.0,-1,DRIVING,12
83.365,51.27,-1.0,-1.0,-1,DRIVING,12
83.672,44.47,-1.0,-1.0,-1,DRIVING,12
83.977,36.91,-1.0,-1.0,-1,DRIVING,12
84.282,29.12,-1.0,-1.0,-1,DRIVING,12
84.587,21.01,-1.0,-1.0,-1,DRIVING,12
84.891,13.46,56.15,27.93,LEFT,OBSTACLE,13
87.505,47.06,-1.0,-1.0,-1,DRIVING,13
87.812,43.49,-1.0,-1.0,-1,DRIVING,13
88.118,37.03,-1.0,-1.0,-1,DRIVING,13
88.423,30.38,-1.0,-1.0,-1,DRIVING,13
88.727,23.38,-1.0,-1.0,-1,DRIVING,13
89.032,16.18,62.61,101.88,RIGHT,OBSTACLE,14
91.652,20.52,-1.0,-1.0,-1,DRIVING,14
91.956,16.9,28.17,58.94,RIGHT,OBSTACLE,15
94.57,71.47,-1.0,-1.0,-1,DRIVING,15
94.878,68.12,-1.0,-1.0,-1,DRIVING,15
95.185,84.47,-1.0,-1.0,-1,DRIVING,15
95.493,77.71,-1.0,-1.0,-1,DRIVING,15
95.801,57.68,-1.0,-1.0,-1,DRIVING,15
96.107,50.92,-1.0,-1.0,-1,DRIVING,15
96.413,44.52,-1.0,-1.0,-1,DRIVING,15
96.719,34.61,-1.0,-1.0,-1,DRIVING,15
97.025,27.4,-1.0,-1.0,-1,DRIVING,15
97.329,19.6,30.26,40.73,RIGHT,OBSTACLE,16
