time,distF,distL,distR,status,obstacle_count
11.067,37.32,21.74,50.13,DRIVING,0
11.181,36.07,23.73,52.33,DRIVING,0
11.294,34.07,25.18,74.6,DRIVING,0
11.408,33.29,23.89,72.69,DRIVING,0
11.523,32.28,22.93,70.5,DRIVING,0
11.636,34.19,21.52,68.9,DRIVING,0
11.751,31.69,21.86,50.18,DRIVING,0
11.864,31.74,21.71,48.37,DRIVING,0
11.976,30.5,20.31,31.54,DRIVING,0
12.088,25.87,17.83,32.01,DRIVING,0
12.198,30.53,16.23,30.48,DRIVING,0
12.31,27.06,14.01,24.7,ADJUST_RIGHT,0
12.62,30.31,16.63,19.99,DRIVING,0
12.731,27.76,18.9,64.63,DRIVING,0
12.845,25.47,20.16,21.27,DRIVING,0
12.955,15.83,18.6,90.37,LEFT_OBSTACLE,1
13.769,86.85,52.39,90.37,DRIVING,1
13.89,86.53,90.9,90.37,DRIVING,1
14.013,85.43,59.21,90.37,DRIVING,1
14.135,82.59,57.94,76.57,DRIVING,1
14.255,80.55,79.76,72.18,DRIVING,1
14.374,78.59,78.9,72.35,DRIVING,1
14.495,76.35,75.67,68.61,DRIVING,1
14.614,76.04,73.1,67.8,DRIVING,1
14.734,73.97,70.6,64.82,DRIVING,1
14.853,72.13,68.12,63.09,DRIVING,1
14.971,78.01,65.6,61.27,DRIVING,1
15.09,74.51,63.09,59.89,DRIVING,1
15.209,70.35,60.71,58.46,DRIVING,1
15.327,68.39,58.19,56.3,DRIVING,1
15.444,65.77,55.73,54.47,DRIVING,1
15.561,61.37,53.62,52.87,DRIVING,1
15.678,57.17,50.8,50.25,DRIVING,1
15.794,53.6,48.79,48.76,DRIVING,1
15.909,52.65,46.04,46.55,DRIVING,1
16.024,48.42,44.05,44.59,DRIVING,1
16.139,44.44,41.26,42.89,DRIVING,1
16.253,46.22,39.2,40.21,DRIVING,1
16.367,38.44,36.58,38.59,DRIVING,1
16.481,35.84,34.27,36.18,DRIVING,1
16.593,32.33,32.3,34.09,DRIVING,1
16.706,30.19,29.73,32.01,DRIVING,1
16.819,27.3,27.78,29.94,DRIVING,1
16.93,29.84,25.09,27.93,DRIVING,1
17.042,26.93,23.04,25.94,DRIVING,1
17.153,28.12,21.28,23.92,DRIVING,1
17.264,27.34,19.96,21.73,DRIVING,1
17.375,25.74,16.47,20.18,DRIVING,1
17.485,25.74,10.59,18.39,ADJUST_RIGHT,1
17.8,13.8,7.16,13.18,LEFT_OBSTACLE,2
18.608,67.32,13.84,66.11,ADJUST_RIGHT,2
18.923,64.97,69.41,97.38,DRIVING,2
19.044,64.65,66.44,96.07,DRIVING,2
19.164,74.87,63.94,87.38,DRIVING,2
19.283,73.3,61.88,83.42,DRIVING,2
19.403,71.83,58.26,78.95,DRIVING,2
19.523,70.87,56.08,75.55,DRIVING,2
19.641,76.93,54.52,74.55,DRIVING,2
19.76,73.83,53.45,69.67,DRIVING,2
19.878,77.45,57.8,66.9,DRIVING,2
19.997,69.56,56.32,64.04,DRIVING,2
20.115,74.14,45.82,62.65,DRIVING,2
20.233,70.63,43.64,59.35,DRIVING,2
20.349,67.56,42.93,57.21,DRIVING,2
20.466,70.62,50.24,54.15,DRIVING,2
20.583,65.7,47.92,50.25,DRIVING,2
20.7,60.59,48.03,47.74,DRIVING,2
20.815,59.18,45.95,45.61,DRIVING,2
20.931,56.87,44.95,42.59,DRIVING,2
21.046,53.3,45.46,40.56,DRIVING,2
21.16,49.27,46.21,39.37,DRIVING,2
21.275,47.84,42.38,35.75,DRIVING,2
21.39,54.42,39.85,33.54,DRIVING,2
21.504,41.67,37.69,31.04,DRIVING,2
21.617,40.22,35.84,28.87,DRIVING,2
21.73,35.84,33.76,34.99,DRIVING,2
21.842,31.4,31.81,39.8,DRIVING,2
21.955,28.31,28.58,36.35,DRIVING,2
22.068,24.55,25.3,35.09,DRIVING,2
22.179,21.52,23.29,32.25,DRIVING,2
22.29,19.35,21.01,29.92,LEFT_OBSTACLE,3
23.101,26.71,24.56,20.77,DRIVING,3
23.212,22.66,7.11,51.78,ADJUST_RIGHT,3
23.524,47.96,14.65,84.34,ADJUST_RIGHT,3
23.839,80.9,48.65,96.19,DRIVING,3
23.959,80.19,54.81,97.51,DRIVING,3
24.079,78.81,79.1,70.28,DRIVING,3
24.2,77.45,76.94,65.98,DRIVING,3
24.32,77.69,74.72,64.58,DRIVING,3
24.438,76.14,71.94,62.83,DRIVING,3
24.558,79.78,70.23,60.4,DRIVING,3
24.677,77.18,67.59,58.4,DRIVING,3
24.796,77.35,65.76,56.42,DRIVING,3
24.914,74.6,63.34,53.82,DRIVING,3
25.032,70.99,61.57,52.19,DRIVING,3
25.15,67.3,59.36,49.11,DRIVING,3
25.267,66.06,57.6,47.21,DRIVING,3
25.383,62.39,55.23,45.07,DRIVING,3
25.499,62.31,53.11,42.69,DRIVING,3
25.616,61.61,51.05,40.04,DRIVING,3
25.732,56.32,49.49,37.76,DRIVING,3
25.846,52.51,47.41,35.39,DRIVING,3
25.961,51.58,45.49,33.12,DRIVING,3
26.076,47.24,43.79,30.63,DRIVING,3
26.189,47.91,39.51,27.97,DRIVING,3
26.303,42.72,36.09,25.42,DRIVING,3
26.416,39.36,33.15,23.21,DRIVING,3
26.528,38.05,30.74,21.08,DRIVING,3
26.64,34.66,28.17,19.13,DRIVING,3
26.752,31.76,26.76,16.8,DRIVING,3
26.862,28.31,23.94,13.94,ADJUST_LEFT,3
27.173,22.07,20.14,11.93,ADJUST_LEFT,3
27.483,15.66,20.14,20.59,LEFT_OBSTACLE,4
28.299,10.01,19.58,9.98,RIGHT_OBSTACLE,5
29.108,15.01,19.58,23.02,LEFT_OBSTACLE,6
29.924,10.44,22.9,11.99,RIGHT_OBSTACLE,7
30.733,18.38,25.84,16.15,RIGHT_OBSTACLE,8
31.544,26.76,70.75,18.11,DRIVING,8
31.657,26.76,86.84,17.34,DRIVING,8
31.776,26.76,86.14,17.63,DRIVING,8
31.895,26.76,85.14,19.13,DRIVING,8
32.014,97.02,83.56,18.04,DRIVING,8
32.133,93.91,80.31,15.73,DRIVING,8
32.25,89.68,77.33,13.77,ADJUST_LEFT,8
32.568,74.32,74.97,16.08,DRIVING,8
32.684,73.19,73.27,87.82,DRIVING,8
32.804,68.31,79.66,82.16,DRIVING,8
32.925,66.61,75.84,78.88,DRIVING,8
33.045,62.32,73.27,74.56,DRIVING,8
33.164,59.6,70.53,73.25,DRIVING,8
33.283,56.02,67.81,68.68,DRIVING,8
33.4,53.19,66.23,64.46,DRIVING,8
33.518,49.93,64.75,65.65,DRIVING,8
33.635,46.41,65.57,56.08,DRIVING,8
33.752,43.11,63.29,54.11,DRIVING,8
33.868,40.0,60.32,45.75,DRIVING,8
33.983,36.07,56.88,44.2,DRIVING,8
