time,distF,distLeft,distRight,direction,status,obstacle_count
15.485,73.85,-1.0,-1.0,-1,DRIVING,0
15.793,71.98,-1.0,-1.0,-1,DRIVING,0
16.1,66.84,-1.0,-1.0,-1,DRIVING,0
16.407,59.48,-1.0,-1.0,-1,DRIVING,0
16.713,51.95,-1.0,-1.0,-1,DRIVING,0
17.019,44.64,-1.0,-1.0,-1,DRIVING,0
17.326,37.09,-1.0,-1.0,-1,DRIVING,0
17.631,29.85,-1.0,-1.0,-1,DRIVING,0
17.936,22.3,-1.0,-1.0,-1,DRIVING,0
18.24,14.65,38.62,51.94,RIGHT,OBSTACLE,1
20.855,36.57,-1.0,-1.0,-1,DRIVING,1
21.16,33.68,-1.0,-1.0,-1,DRIVING,1
21.466,30.8,-1.0,-1.0,-1,DRIVING,1
21.77,44.86,-1.0,-1.0,-1,DRIVING,1
22.076,37.93,-1.0,-1.0,-1,DRIVING,1
22.381,30.65,-1.0,-1.0,-1,DRIVING,1
22.686,30.28,-1.0,-1.0,-1,DRIVING,1
22.991,21.71,-1.0,-1.0,-1,DRIVING,1
23.296,12.75,6.34,34.71,RIGHT,OBSTACLE,2
25.907,80.73,-1.0,-1.0,-1,DRIVING,2
26.215,77.57,-1.0,-1.0,-1,DRIVING,2
26.522,89.3,-1.0,-1.0,-1,DRIVING,2
26.831,81.94,-1.0,-1.0,-1,DRIVING,2
27.139,75.45,-1.0,-1.0,-1,DRIVING,2
27.447,67.8,-1.0,-1.0,-1,DRIVING,2
27.754,59.01,-1.0,-1.0,-1,DRIVING,2
28.06,51.65,-1.0,-1.0,-1,DRIVING,2
28.366,43.69,-1.0,-1.0,-1,DRIVING,2
28.672,35.67,-1.0,-1.0,-1,DRIVING,2
28.977,27.32,-1.0,-1.0,-1,DRIVING,2
29.282,19.63,35.07,49.2,RIGHT,OBSTACLE,3
31.897,55.81,-1.0,-1.0,-1,DRIVING,3
32.203,52.39,-1.0,-1.0,-1,DRIVING,3
32.509,47.79,-1.0,-1.0,-1,DRIVING,3
32.815,72.37,-1.0,-1.0,-1,DRIVING,3
33.123,36.92,-1.0,-1.0,-1,DRIVING,3
33.428,58.41,-1.0,-1.0,-1,DRIVING,3
33.734,50.58,-1.0,-1.0,-1,DRIVING,3
34.04,44.59,-1.0,-1.0,-1,DRIVING,3
34.347,38.64,-1.0,-1.0,-1,DRIVING,3
34.652,4.85,3.25,31.21,RIGHT,OBSTACLE,4
37.263,31.64,-1.0,-1.0,-1,DRIVING,4
37.567,27.59,-1.0,-1.0,-1,DRIVING,4
