time,distF,distL,distR,distSL,distSR,status,obstacle_count
14.649,78.71,76.91,87.31,32.33,29.19,DRIVING,0
14.779,77.35,74.7,86.05,32.33,29.14,DRIVING,0
14.909,75.7,74.0,84.8,32.32,29.9,DRIVING,0
15.038,82.38,72.05,82.79,32.05,30.57,DRIVING,0
15.168,79.61,69.67,82.14,31.84,34.53,DRIVING,0
15.298,68.26,64.92,78.66,30.84,54.32,DRIVING,0
15.427,63.68,62.19,75.43,30.72,51.95,DRIVING,0
15.556,59.48,59.21,71.89,30.07,54.08,DRIVING,0
15.684,56.98,56.42,67.88,29.31,50.18,DRIVING,0
15.812,53.35,32.59,66.03,28.58,50.42,DRIVING,0
15.937,48.3,31.11,58.62,27.59,53.89,DRIVING,0
16.062,49.71,28.82,56.36,26.64,49.83,DRIVING,0
16.187,43.32,27.59,54.55,25.5,55.15,DRIVING,0
16.311,37.45,25.96,50.71,24.89,81.82,DRIVING,0
16.436,45.68,24.72,45.2,23.6,70.72,DRIVING,0
16.561,31.55,23.29,42.69,22.46,66.4,DRIVING,0
16.684,41.12,22.39,38.95,21.51,70.91,DRIVING,0
16.807,35.36,20.37,35.68,20.13,76.77,DRIVING,0
16.93,31.38,18.45,32.84,18.65,75.82,DRIVING,0
17.052,27.98,18.6,29.27,16.75,72.96,DRIVING,0
17.174,24.5,16.13,26.21,15.57,74.22,DRIVING,0
17.296,21.83,9.37,23.14,14.01,76.84,LEFT_OBSTACLE,1
18.116,72.79,21.66,68.82,26.55,73.68,DRIVING,1
18.244,71.81,21.93,68.07,22.12,73.63,DRIVING,1
18.371,67.18,21.37,64.02,23.46,61.85,DRIVING,1
18.497,66.11,22.12,68.36,20.93,65.45,DRIVING,1
18.624,63.9,21.57,73.0,19.5,64.99,DRIVING,1
18.75,58.4,20.57,56.47,18.36,66.88,DRIVING,1
18.875,54.25,19.65,67.39,16.92,62.95,DRIVING,1
19.0,50.86,19.09,62.85,16.27,72.81,DRIVING,1
19.125,46.27,18.24,50.42,15.33,60.42,DRIVING,1
19.249,42.79,16.98,44.97,14.43,60.13,ADJUST_RIGHT,1
19.571,41.89,10.76,37.81,14.74,75.72,LEFT_OBSTACLE,2
20.393,65.87,38.96,69.31,44.88,75.72,DRIVING,2
20.526,69.8,38.34,71.21,44.23,73.51,DRIVING,2
20.655,71.06,37.74,68.05,42.98,73.51,DRIVING,2
20.786,67.9,38.1,75.5,40.77,78.98,DRIVING,2
20.916,75.5,48.72,79.17,36.91,80.92,DRIVING,2
21.047,61.91,47.6,68.34,37.98,80.92,DRIVING,2
21.178,56.44,46.68,73.8,34.66,57.8,DRIVING,2
21.306,52.58,48.26,71.03,32.74,59.82,DRIVING,2
21.434,49.98,49.81,67.29,33.47,80.14,DRIVING,2
21.562,65.28,51.05,64.29,33.76,62.93,DRIVING,2
21.69,60.76,53.45,60.91,35.79,64.09,DRIVING,2
21.819,56.66,52.84,59.19,42.55,67.1,DRIVING,2
21.947,52.11,52.75,54.93,43.62,61.49,DRIVING,2
22.075,48.37,50.44,54.28,46.34,68.53,DRIVING,2
22.203,44.25,45.22,28.07,45.83,68.83,DRIVING,2
22.328,40.58,43.66,47.87,43.88,59.57,DRIVING,2
22.454,37.26,40.12,18.87,42.09,72.45,DRIVING,2
22.579,33.22,39.02,16.73,40.26,74.87,DRIVING,2
22.703,29.55,34.15,16.37,39.29,63.85,DRIVING,2
22.825,25.87,31.28,11.44,38.05,60.52,LEFT_OBSTACLE,3
23.648,55.78,7.09,70.38,25.84,89.56,LEFT_OBSTACLE,4
24.474,69.92,73.73,54.26,74.34,40.85,DRIVING,4
24.605,67.85,75.5,52.9,74.49,39.15,DRIVING,4
