time,distF,distL,distR,status,obstacle_count
17.082,57.75,29.67,48.14,DRIVING,0
17.197,57.34,29.09,46.84,DRIVING,0
17.31,46.99,29.44,46.05,DRIVING,0
17.425,45.05,29.95,46.21,DRIVING,0
17.539,43.59,27.74,65.82,DRIVING,0
17.653,39.58,29.0,43.93,DRIVING,0
17.766,36.72,25.36,59.79,DRIVING,0
17.881,32.93,23.75,39.13,DRIVING,0
17.992,30.55,21.93,35.56,DRIVING,0
18.105,27.05,20.54,45.49,DRIVING,0
18.216,25.64,19.58,38.0,DRIVING,0
18.328,22.61,17.95,37.89,DRIVING,0
18.44,20.23,14.84,31.09,ADJUST_RIGHT,0
18.75,21.42,9.69,30.52,ADJUST_RIGHT,0
19.06,24.8,13.67,19.16,ADJUST_RIGHT,0
19.371,14.23,5.87,89.88,LEFT_OBSTACLE,1
20.184,14.23,90.73,42.11,RIGHT_OBSTACLE,2
21.005,87.74,13.38,79.31,ADJUST_RIGHT,2
21.322,88.08,16.69,90.0,DRIVING,2
21.44,86.84,17.15,96.22,DRIVING,2
21.559,84.66,49.57,99.14,DRIVING,2
21.679,82.23,47.24,97.29,DRIVING,2
21.799,79.73,47.96,96.39,DRIVING,2
21.919,77.45,51.39,94.55,DRIVING,2
22.039,74.39,75.96,91.14,DRIVING,2
22.16,71.94,72.98,72.52,DRIVING,2
22.279,70.06,69.6,69.43,DRIVING,2
22.398,67.32,67.13,84.88,DRIVING,2
22.517,63.92,63.94,66.59,DRIVING,2
22.636,62.34,61.06,63.9,DRIVING,2
22.754,58.99,58.46,62.82,DRIVING,2
22.871,56.73,55.22,62.46,DRIVING,2
22.988,55.32,52.55,59.98,DRIVING,2
23.104,51.41,50.24,59.45,DRIVING,2
23.221,49.22,47.19,56.54,DRIVING,2
23.336,48.38,44.93,53.69,DRIVING,2
23.452,46.75,42.42,52.38,DRIVING,2
23.567,45.46,39.78,49.76,DRIVING,2
23.682,47.31,36.87,48.09,DRIVING,2
23.796,38.27,34.34,46.67,DRIVING,2
23.91,35.73,32.08,44.74,DRIVING,2
24.023,32.98,29.15,43.33,DRIVING,2
24.136,31.09,27.03,41.09,DRIVING,2
24.248,27.64,24.67,38.25,DRIVING,2
24.36,25.87,22.2,36.72,DRIVING,2
24.472,21.47,20.18,34.97,DRIVING,2
24.583,19.28,17.77,33.42,LEFT_OBSTACLE,3
25.394,27.73,29.84,72.51,DRIVING,3
25.508,27.83,28.53,68.19,DRIVING,3
25.622,27.05,27.44,65.62,DRIVING,3
25.736,25.69,25.4,65.45,DRIVING,3
25.849,24.51,23.14,60.1,DRIVING,3
25.963,24.51,21.23,60.76,DRIVING,3
26.082,24.51,18.31,60.52,DRIVING,3
26.2,24.51,15.39,57.02,DRIVING,3
26.317,24.51,12.92,55.0,ADJUST_RIGHT,3
26.635,50.69,11.65,49.4,ADJUST_RIGHT,3
26.948,45.12,48.99,70.19,DRIVING,3
27.065,43.93,46.39,77.96,DRIVING,3
27.182,43.5,43.06,81.36,DRIVING,3
27.297,41.65,40.29,78.12,DRIVING,3
27.414,51.82,37.62,86.46,DRIVING,3
27.531,50.75,34.7,73.24,DRIVING,3
27.646,55.2,32.18,68.9,DRIVING,3
27.763,52.58,29.8,67.05,DRIVING,3
27.878,50.44,38.95,64.31,DRIVING,3
