time,distF,distL,distR,status,obstacle_count
30.985,80.0,54.32,55.52,DRIVING,0
31.102,81.38,54.13,58.26,DRIVING,0
31.22,79.22,54.66,90.05,DRIVING,0
31.34,78.51,55.15,90.05,DRIVING,0
31.461,59.99,64.24,90.05,DRIVING,0
31.582,57.44,62.37,90.05,DRIVING,0
31.702,53.89,60.45,90.05,DRIVING,0
31.821,51.77,65.3,98.12,DRIVING,0
31.941,49.67,50.83,83.79,DRIVING,0
32.059,47.58,47.7,81.48,DRIVING,0
32.176,60.89,43.42,77.25,DRIVING,0
32.293,57.15,41.36,73.39,DRIVING,0
32.41,54.96,40.49,71.2,DRIVING,0
32.526,53.53,35.55,69.46,DRIVING,0
32.643,49.73,32.96,66.81,DRIVING,0
32.758,49.74,31.77,64.09,DRIVING,0
32.873,45.88,28.99,61.88,DRIVING,0
32.988,45.05,27.63,60.81,DRIVING,0
33.102,41.6,26.37,59.14,DRIVING,0
33.216,41.96,25.36,58.04,DRIVING,0
33.331,40.27,24.31,55.71,DRIVING,0
33.444,35.31,27.34,53.28,DRIVING,0
33.558,30.86,32.11,50.95,DRIVING,0
33.672,27.29,29.72,49.3,DRIVING,0
33.784,24.9,28.19,48.45,DRIVING,0
33.897,25.67,24.87,46.36,DRIVING,0
34.01,19.09,21.28,44.76,LEFT_OBSTACLE,1
34.821,42.91,42.53,69.84,DRIVING,1
34.936,43.66,42.59,66.69,DRIVING,1
35.052,41.41,41.14,68.77,DRIVING,1
35.168,40.12,38.4,43.71,DRIVING,1
35.282,38.08,36.45,74.41,DRIVING,1
35.397,35.67,35.29,73.17,DRIVING,1
35.513,33.29,33.52,46.43,DRIVING,1
35.625,30.96,32.23,45.66,DRIVING,1
35.739,28.36,33.08,44.3,DRIVING,1
35.852,25.87,26.93,50.22,DRIVING,1
35.964,23.73,24.72,51.48,DRIVING,1
36.077,21.71,22.29,53.69,DRIVING,1
36.19,19.26,20.13,54.86,LEFT_OBSTACLE,2
37.002,72.4,57.73,88.72,DRIVING,2
37.122,72.45,55.95,84.64,DRIVING,2
37.24,72.28,54.79,84.81,DRIVING,2
37.36,69.48,53.14,80.44,DRIVING,2
37.479,67.35,51.66,78.22,DRIVING,2
37.597,65.4,49.96,80.58,DRIVING,2
37.715,62.99,50.47,73.87,DRIVING,2
37.833,60.57,48.93,75.53,DRIVING,2
37.951,60.23,48.21,77.27,DRIVING,2
38.068,55.96,49.1,74.43,DRIVING,2
38.185,54.77,52.09,73.81,DRIVING,2
38.302,51.39,49.57,72.57,DRIVING,2
38.42,49.79,47.4,68.41,DRIVING,2
38.536,47.82,44.52,66.08,DRIVING,2
38.652,44.15,42.04,63.34,DRIVING,2
38.767,43.08,39.58,61.73,DRIVING,2
38.883,39.81,36.75,58.97,DRIVING,2
38.998,37.96,34.39,45.83,DRIVING,2
39.111,53.64,32.03,43.45,DRIVING,2
39.225,50.32,29.65,42.69,DRIVING,2
39.34,47.06,27.29,39.42,DRIVING,2
39.452,45.15,25.47,47.26,DRIVING,2
39.566,41.96,23.1,35.45,DRIVING,2
39.678,38.81,20.94,30.91,DRIVING,2
39.791,36.48,19.57,28.37,DRIVING,2
39.903,33.76,16.95,26.54,DRIVING,2
40.013,30.79,14.38,24.63,ADJUST_RIGHT,2
40.325,26.16,13.07,21.3,ADJUST_RIGHT,2
40.635,15.47,24.85,33.9,LEFT_OBSTACLE,3
41.446,69.21,43.5,89.83,DRIVING,3
41.565,69.43,48.65,65.6,DRIVING,3
41.682,68.26,52.89,55.52,DRIVING,3
41.799,66.11,51.29,89.42,DRIVING,3
41.918,65.3,51.41,54.09,DRIVING,3
42.035,77.86,62.83,54.09,DRIVING,3
42.156,72.35,60.57,97.72,DRIVING,3
42.276,53.3,58.99,98.46,DRIVING,3
42.395,49.98,56.85,89.91,DRIVING,3
42.514,46.7,59.65,83.56,DRIVING,3
42.632,45.17,57.09,80.29,DRIVING,3
42.748,42.43,54.57,78.95,DRIVING,3
42.866,54.71,42.57,76.91,DRIVING,3
42.983,36.84,37.62,73.3,DRIVING,3
43.099,34.24,33.58,70.92,DRIVING,3
43.213,46.05,30.41,69.58,DRIVING,3
43.328,43.42,27.85,67.29,DRIVING,3
43.444,40.1,24.82,65.33,DRIVING,3
43.557,37.74,29.85,63.85,DRIVING,3
43.672,34.48,19.31,61.93,DRIVING,3
43.786,32.33,18.9,60.08,DRIVING,3
43.898,29.05,14.77,59.91,ADJUST_RIGHT,3
44.212,28.31,26.11,54.62,DRIVING,3
44.324,56.95,25.25,54.33,DRIVING,3
44.439,52.75,23.65,53.02,DRIVING,3
44.554,50.08,22.0,51.43,DRIVING,3
44.667,47.82,20.18,48.52,DRIVING,3
44.781,45.05,17.2,46.0,DRIVING,3
44.894,43.18,14.03,42.09,ADJUST_RIGHT,3
45.207,35.65,14.03,42.33,ADJUST_RIGHT,3
45.524,37.91,36.75,75.72,DRIVING,3
45.64,38.15,33.88,47.5,DRIVING,3
45.754,37.2,35.09,75.19,DRIVING,3
45.869,37.64,33.22,73.0,DRIVING,3
45.984,70.86,30.86,69.8,DRIVING,3
46.101,68.19,28.9,67.35,DRIVING,3
46.217,65.09,27.08,64.01,DRIVING,3
46.333,62.76,25.18,62.19,DRIVING,3
46.448,60.4,23.58,60.23,DRIVING,3
46.564,56.73,21.74,57.04,DRIVING,3
46.679,54.71,20.33,70.02,DRIVING,3
46.793,51.44,18.05,53.67,DRIVING,3
46.908,47.77,16.64,51.24,DRIVING,3
47.021,45.34,14.88,47.62,ADJUST_RIGHT,3
47.334,40.48,15.03,96.2,DRIVING,3
47.45,37.37,16.18,56.05,DRIVING,3
47.563,36.02,15.98,57.41,DRIVING,3
47.676,35.19,36.41,56.0,DRIVING,3
47.79,31.57,17.51,50.17,DRIVING,3
47.902,30.07,30.77,88.59,DRIVING,3
48.018,40.24,27.73,88.42,DRIVING,3
48.134,37.2,24.82,43.04,DRIVING,3
48.247,34.58,21.44,48.26,DRIVING,3
48.36,33.29,18.87,46.78,DRIVING,3
48.473,32.03,15.64,82.62,DRIVING,3
48.586,29.12,13.57,74.15,ADJUST_RIGHT,3
48.901,26.38,27.23,72.57,DRIVING,3
49.014,25.21,24.8,68.05,DRIVING,3
49.128,25.33,22.93,66.84,DRIVING,3
49.242,25.33,20.77,66.57,DRIVING,3
49.36,25.33,19.07,62.59,DRIVING,3
49.48,25.33,16.51,60.81,DRIVING,3
49.598,25.33,13.97,59.21,ADJUST_RIGHT,3
49.915,55.18,12.72,71.86,ADJUST_RIGHT,3
50.231,50.27,55.06,80.41,DRIVING,3
50.349,49.73,52.85,80.65,DRIVING,3
50.465,48.52,49.98,81.8,DRIVING,3
50.583,46.94,45.19,78.35,DRIVING,3
50.7,44.2,47.36,76.81,DRIVING,3
50.817,53.4,40.41,73.17,DRIVING,3
50.933,51.83,37.77,82.67,DRIVING,3
