time,distF,distLeft,distRight,direction,status,obstacle_count
13.039,56.51,-1.0,-1.0,-1,DRIVING,0
13.345,54.54,-1.0,-1.0,-1,DRIVING,0
13.651,48.88,-1.0,-1.0,-1,DRIVING,0
13.958,49.96,-1.0,-1.0,-1,DRIVING,0
14.264,55.52,-1.0,-1.0,-1,DRIVING,0
14.57,32.05,-1.0,-1.0,-1,DRIVING,0
14.875,23.44,-1.0,-1.0,-1,DRIVING,0
15.18,17.02,93.52,22.92,LEFT,OBSTACLE,1
17.797,77.64,-1.0,-1.0,-1,DRIVING,1
18.104,73.56,-1.0,-1.0,-1,DRIVING,1
18.411,67.37,-1.0,-1.0,-1,DRIVING,1
18.718,60.32,-1.0,-1.0,-1,DRIVING,1
19.025,54.6,-1.0,-1.0,-1,DRIVING,1
19.332,48.14,-1.0,-1.0,-1,DRIVING,1
19.638,42.02,-1.0,-1.0,-1,DRIVING,1
19.943,35.56,-1.0,-1.0,-1,DRIVING,1
20.248,28.85,-1.0,-1.0,-1,DRIVING,1
20.553,21.52,-1.0,-1.0,-1,DRIVING,1
20.857,14.59,64.46,20.04,LEFT,OBSTACLE,2
23.472,50.81,-1.0,-1.0,-1,DRIVING,2
23.778,47.77,-1.0,-1.0,-1,DRIVING,2
24.084,42.11,-1.0,-1.0,-1,DRIVING,2
24.389,35.56,-1.0,-1.0,-1,DRIVING,2
24.694,29.65,-1.0,-1.0,-1,DRIVING,2
24.999,21.9,-1.0,-1.0,-1,DRIVING,2
25.304,15.06,65.18,21.9,LEFT,OBSTACLE,3
27.919,78.12,-1.0,-1.0,-1,DRIVING,3
28.226,76.86,-1.0,-1.0,-1,DRIVING,3
28.534,76.16,-1.0,-1.0,-1,DRIVING,3
28.841,70.72,-1.0,-1.0,-1,DRIVING,3
29.149,62.93,-1.0,-1.0,-1,DRIVING,3
29.456,58.65,-1.0,-1.0,-1,DRIVING,3
29.762,49.33,-1.0,-1.0,-1,DRIVING,3
30.068,40.65,-1.0,-1.0,-1,DRIVING,3
30.373,34.78,-1.0,-1.0,-1,DRIVING,3
30.679,28.61,-1.0,-1.0,-1,DRIVING,3
