time,distF,distLeft,distRight,direction,status,obstacle_count
21.627,63.46,-1.0,-1.0,-1,DRIVING,0
21.935,59.6,-1.0,-1.0,-1,DRIVING,0
22.241,55.1,-1.0,-1.0,-1,DRIVING,0
22.547,67.39,-1.0,-1.0,-1,DRIVING,0
22.854,59.98,-1.0,-1.0,-1,DRIVING,0
23.161,53.65,-1.0,-1.0,-1,DRIVING,0
23.468,47.06,-1.0,-1.0,-1,DRIVING,0
23.773,41.75,-1.0,-1.0,-1,DRIVING,0
24.079,34.95,-1.0,-1.0,-1,DRIVING,0
24.384,134.16,-1.0,-1.0,-1,DRIVING,0
24.695,61.32,-1.0,-1.0,-1,DRIVING,0
25.001,54.71,-1.0,-1.0,-1,DRIVING,0
25.308,115.84,-1.0,-1.0,-1,DRIVING,0
25.618,5.92,41.12,3.01,LEFT,OBSTACLE,1
28.229,39.83,-1.0,-1.0,-1,DRIVING,1
28.535,37.55,-1.0,-1.0,-1,DRIVING,1
28.84,85.73,-1.0,-1.0,-1,DRIVING,1
29.149,35.53,-1.0,-1.0,-1,DRIVING,1
29.454,72.23,-1.0,-1.0,-1,DRIVING,1
29.761,113.85,-1.0,-1.0,-1,DRIVING,1
30.07,60.25,-1.0,-1.0,-1,DRIVING,1
30.377,50.9,-1.0,-1.0,-1,DRIVING,1
30.684,45.71,-1.0,-1.0,-1,DRIVING,1
30.989,157.56,-1.0,-1.0,-1,DRIVING,1
31.302,30.97,-1.0,-1.0,-1,DRIVING,1
31.606,25.74,-1.0,-1.0,-1,DRIVING,1
31.911,20.52,-1.0,-1.0,-1,DRIVING,1
32.216,17.71,123.57,6.63,LEFT,OBSTACLE,2
34.833,16.66,88.4,19.82,LEFT,OBSTACLE,3
37.449,122.33,-1.0,-1.0,-1,DRIVING,3
37.76,117.13,-1.0,-1.0,-1,DRIVING,3
38.07,107.76,-1.0,-1.0,-1,DRIVING,3
38.379,105.77,-1.0,-1.0,-1,DRIVING,3
38.688,57.7,-1.0,-1.0,-1,DRIVING,3
38.994,48.93,-1.0,-1.0,-1,DRIVING,3
39.301,41.72,-1.0,-1.0,-1,DRIVING,3
39.607,61.61,-1.0,-1.0,-1,DRIVING,3
39.913,6.82,59.65,4.98,LEFT,OBSTACLE,4
42.526,50.2,-1.0,-1.0,-1,DRIVING,4
42.831,47.26,-1.0,-1.0,-1,DRIVING,4
43.138,43.62,-1.0,-1.0,-1,DRIVING,4
43.444,41.12,-1.0,-1.0,-1,DRIVING,4
43.749,39.05,-1.0,-1.0,-1,DRIVING,4
44.054,33.85,-1.0,-1.0,-1,DRIVING,4
44.359,32.05,-1.0,-1.0,-1,DRIVING,4
44.664,27.95,-1.0,-1.0,-1,DRIVING,4
44.969,19.69,36.31,17.85,LEFT,OBSTACLE,5
47.582,104.65,-1.0,-1.0,-1,DRIVING,5
47.891,100.5,-1.0,-1.0,-1,DRIVING,5
48.2,89.44,-1.0,-1.0,-1,DRIVING,5
48.508,86.68,-1.0,-1.0,-1,DRIVING,5
48.817,77.28,-1.0,-1.0,-1,DRIVING,5
49.125,69.38,-1.0,-1.0,-1,DRIVING,5
49.432,59.84,-1.0,-1.0,-1,DRIVING,5
49.738,52.17,-1.0,-1.0,-1,DRIVING,5
50.044,46.22,-1.0,-1.0,-1,DRIVING,5
50.351,36.98,-1.0,-1.0,-1,DRIVING,5
50.656,30.8,-1.0,-1.0,-1,DRIVING,5
50.961,25.57,-1.0,-1.0,-1,DRIVING,5
51.265,16.83,71.59,14.18,LEFT,OBSTACLE,6
53.88,53.53,-1.0,-1.0,-1,DRIVING,6
54.187,50.37,-1.0,-1.0,-1,DRIVING,6
54.493,44.63,-1.0,-1.0,-1,DRIVING,6
54.798,38.81,-1.0,-1.0,-1,DRIVING,6
55.103,30.24,-1.0,-1.0,-1,DRIVING,6
55.408,22.81,-1.0,-1.0,-1,DRIVING,6
55.713,15.66,42.38,17.09,LEFT,OBSTACLE,7
58.326,80.29,-1.0,-1.0,-1,DRIVING,7
58.634,79.34,-1.0,-1.0,-1,DRIVING,7
58.942,79.29,-1.0,-1.0,-1,DRIVING,7
59.249,70.5,-1.0,-1.0,-1,DRIVING,7
59.556,64.33,-1.0,-1.0,-1,DRIVING,7
59.864,59.53,-1.0,-1.0,-1,DRIVING,7
60.17,49.49,-1.0,-1.0,-1,DRIVING,7
60.476,40.92,-1.0,-1.0,-1,DRIVING,7
60.781,33.93,-1.0,-1.0,-1,DRIVING,7
61.086,26.38,-1.0,-1.0,-1,DRIVING,7
61.391,19.8,11.85,22.24,RIGHT,OBSTACLE,8
64.004,46.7,-1.0,-1.0,-1,DRIVING,8
64.309,48.84,-1.0,-1.0,-1,DRIVING,8
64.615,51.41,-1.0,-1.0,-1,DRIVING,8
64.921,35.67,-1.0,-1.0,-1,DRIVING,8
65.226,30.33,-1.0,-1.0,-1,DRIVING,8
65.531,22.07,-1.0,-1.0,-1,DRIVING,8
65.836,17.61,16.78,21.32,RIGHT,OBSTACLE,9
68.448,89.11,-1.0,-1.0,-1,DRIVING,9
68.756,85.7,-1.0,-1.0,-1,DRIVING,9
69.064,80.26,-1.0,-1.0,-1,DRIVING,9
69.371,85.0,-1.0,-1.0,-1,DRIVING,9
69.68,81.55,-1.0,-1.0,-1,DRIVING,9
69.988,70.14,-1.0,-1.0,-1,DRIVING,9
70.295,59.18,-1.0,-1.0,-1,DRIVING,9
70.601,51.73,-1.0,-1.0,-1,DRIVING,9
70.907,46.33,-1.0,-1.0,-1,DRIVING,9
71.214,38.44,-1.0,-1.0,-1,DRIVING,9
71.519,30.52,-1.0,-1.0,-1,DRIVING,9
71.824,23.14,-1.0,-1.0,-1,DRIVING,9
72.128,15.78,28.9,114.27,RIGHT,OBSTACLE,10
74.746,46.41,-1.0,-1.0,-1,DRIVING,10
75.053,44.13,-1.0,-1.0,-1,DRIVING,10
75.358,38.34,-1.0,-1.0,-1,DRIVING,10
75.663,46.58,-1.0,-1.0,-1,DRIVING,10
75.969,40.68,-1.0,-1.0,-1,DRIVING,10
76.274,39.46,-1.0,-1.0,-1,DRIVING,10
76.58,39.68,-1.0,-1.0,-1,DRIVING,10
76.886,25.74,-1.0,-1.0,-1,DRIVING,10
77.19,23.66,-1.0,-1.0,-1,DRIVING,10
77.495,15.78,10.54,44.37,RIGHT,OBSTACLE,11
80.107,94.49,-1.0,-1.0,-1,DRIVING,11
80.416,89.06,-1.0,-1.0,-1,DRIVING,11
80.724,82.88,-1.0,-1.0,-1,DRIVING,11
81.033,76.57,-1.0,-1.0,-1,DRIVING,11
81.34,69.26,-1.0,-1.0,-1,DRIVING,11
81.647,65.94,-1.0,-1.0,-1,DRIVING,11
81.954,57.46,-1.0,-1.0,-1,DRIVING,11
82.26,49.08,-1.0,-1.0,-1,DRIVING,11
82.567,41.38,-1.0,-1.0,-1,DRIVING,11
82.872,33.71,-1.0,-1.0,-1,DRIVING,11
83.177,25.99,-1.0,-1.0,-1,DRIVING,11
83.482,18.45,37.72,48.72,RIGHT,OBSTACLE,12
86.096,56.13,-1.0,-1.0,-1,DRIVING,12
86.404,53.57,-1.0,-1.0,-1,DRIVING,12
86.71,49.01,-1.0,-1.0,-1,DRIVING,12
87.016,70.4,-1.0,-1.0,-1,DRIVING,12
87.323,62.83,-1.0,-1.0,-1,DRIVING,12
87.629,55.68,-1.0,-1.0,-1,DRIVING,12
87.936,48.42,-1.0,-1.0,-1,DRIVING,12
88.242,40.55,-1.0,-1.0,-1,DRIVING,12
88.547,33.05,-1.0,-1.0,-1,DRIVING,12
88.852,25.74,-1.0,-1.0,-1,DRIVING,12
89.157,19.63,5.2,16.73,RIGHT,OBSTACLE,13
91.768,19.16,24.6,81.41,RIGHT,OBSTACLE,14
94.384,64.09,-1.0,-1.0,-1,DRIVING,14
94.691,59.72,-1.0,-1.0,-1,DRIVING,14
94.998,72.18,-1.0,-1.0,-1,DRIVING,14
95.305,64.29,-1.0,-1.0,-1,DRIVING,14
95.611,58.09,-1.0,-1.0,-1,DRIVING,14
95.919,53.18,-1.0,-1.0,-1,DRIVING,14
96.225,52.7,-1.0,-1.0,-1,DRIVING,14
96.531,43.62,-1.0,-1.0,-1,DRIVING,14
96.836,36.74,-1.0,-1.0,-1,DRIVING,14
97.141,31.31,-1.0,-1.0,-1,DRIVING,14
97.446,23.43,-1.0,-1.0,-1,DRIVING,14
97.751,15.2,161.53,23.49,LEFT,OBSTACLE,15
100.372,13.35,41.19,11.92,LEFT,OBSTACLE,16
102.984,75.8,-1.0,-1.0,-1,DRIVING,16
103.291,52.26,-1.0,-1.0,-1,DRIVING,16
103.598,69.09,-1.0,-1.0,-1,DRIVING,16
103.905,62.54,-1.0,-1.0,-1,DRIVING,16
104.212,56.66,-1.0,-1.0,-1,DRIVING,16
104.518,52.39,-1.0,-1.0,-1,DRIVING,16
104.824,75.36,-1.0,-1.0,-1,DRIVING,16
105.133,65.43,-1.0,-1.0,-1,DRIVING,16
105.44,58.75,-1.0,-1.0,-1,DRIVING,16
105.746,51.63,-1.0,-1.0,-1,DRIVING,16
106.052,46.73,-1.0,-1.0,-1,DRIVING,16
106.358,37.15,-1.0,-1.0,-1,DRIVING,16
106.663,29.07,-1.0,-1.0,-1,DRIVING,16
106.969,23.31,-1.0,-1.0,-1,DRIVING,16
107.273,13.23,10.9,10.47,LEFT,OBSTACLE,17
109.884,76.91,-1.0,-1.0,-1,DRIVING,17
110.191,73.19,-1.0,-1.0,-1,DRIVING,17
110.498,67.34,-1.0,-1.0,-1,DRIVING,17
110.806,57.85,-1.0,-1.0,-1,DRIVING,17
111.113,50.75,-1.0,-1.0,-1,DRIVING,17
111.419,43.79,-1.0,-1.0,-1,DRIVING,17
111.724,35.29,-1.0,-1.0,-1,DRIVING,17
112.029,27.29,-1.0,-1.0,-1,DRIVING,17
112.334,19.58,127.52,10.49,LEFT,OBSTACLE,18
114.952,97.61,-1.0,-1.0,-1,DRIVING,18
115.261,115.58,-1.0,-1.0,-1,DRIVING,18
115.571,38.57,-1.0,-1.0,-1,DRIVING,18
115.876,62.41,-1.0,-1.0,-1,DRIVING,18
116.184,57.32,-1.0,-1.0,-1,DRIVING,18
116.49,36.67,-1.0,-1.0,-1,DRIVING,18
116.795,27.37,-1.0,-1.0,-1,DRIVING,18
117.1,33.17,-1.0,-1.0,-1,DRIVING,18
117.405,24.62,-1.0,-1.0,-1,DRIVING,18
117.709,22.2,-1.0,-1.0,-1,DRIVING,18
118.014,16.61,43.81,5.44,LEFT,OBSTACLE,19
120.627,40.89,-1.0,-1.0,-1,DRIVING,19
120.932,42.91,-1.0,-1.0,-1,DRIVING,19
121.238,40.46,-1.0,-1.0,-1,DRIVING,19
121.543,41.31,-1.0,-1.0,-1,DRIVING,19
121.849,37.15,-1.0,-1.0,-1,DRIVING,19
122.155,28.56,-1.0,-1.0,-1,DRIVING,19
122.459,23.26,-1.0,-1.0,-1,DRIVING,19
122.764,20.23,-1.0,-1.0,-1,DRIVING,19
123.068,13.7,20.52,9.49,LEFT,OBSTACLE,20
125.679,15.01,110.52,12.61,LEFT,OBSTACLE,21
