time,distF,distL,distR,status,obstacle_count
25.622,48.86,24.67,72.23,DRIVING,0
25.737,48.86,26.27,71.35,DRIVING,0
25.852,46.1,26.5,70.87,DRIVING,0
25.967,43.08,26.32,68.61,DRIVING,0
26.082,44.49,25.06,66.05,DRIVING,0
26.196,38.34,22.08,37.3,DRIVING,0
26.309,36.92,20.82,32.84,DRIVING,0
26.422,27.88,19.11,29.7,DRIVING,0
26.532,29.61,16.88,29.5,DRIVING,0
26.644,26.57,14.26,25.16,ADJUST_RIGHT,0
26.954,23.39,17.49,24.53,DRIVING,0
27.065,23.31,14.62,28.49,ADJUST_RIGHT,0
27.375,13.94,3.89,91.19,LEFT_OBSTACLE,1
28.188,90.88,88.08,70.92,DRIVING,1
28.31,90.88,88.03,69.79,DRIVING,1
28.432,90.88,87.75,46.16,DRIVING,1
28.553,90.88,86.34,41.14,DRIVING,1
28.673,68.85,85.27,40.21,DRIVING,1
28.791,64.63,85.02,38.66,DRIVING,1
28.909,63.55,83.96,37.94,DRIVING,1
29.026,58.51,82.65,35.8,DRIVING,1
29.144,55.13,82.01,34.49,DRIVING,1
29.26,51.7,81.48,36.07,DRIVING,1
29.377,49.15,80.0,27.49,DRIVING,1
29.493,45.29,81.16,25.11,DRIVING,1
29.608,41.94,77.62,23.38,DRIVING,1
29.723,38.81,77.08,21.73,DRIVING,1
29.838,35.84,76.31,21.42,DRIVING,1
29.953,32.76,74.1,33.56,DRIVING,1
30.067,29.36,80.1,31.01,DRIVING,1
30.183,26.69,71.31,27.2,DRIVING,1
30.297,23.14,71.93,24.75,DRIVING,1
30.41,20.48,70.48,22.51,DRIVING,1
30.524,17.49,67.23,22.42,RIGHT_OBSTACLE,2
31.337,62.08,68.65,18.63,DRIVING,2
31.453,61.18,69.33,19.82,DRIVING,2
31.568,60.4,67.83,17.99,DRIVING,2
31.683,58.12,66.28,18.09,DRIVING,2
31.799,54.77,64.82,16.51,DRIVING,2
31.913,51.58,64.77,16.68,DRIVING,2
32.027,48.65,58.38,97.12,DRIVING,2
32.146,44.93,55.74,95.47,DRIVING,2
32.265,41.72,55.54,94.64,DRIVING,2
32.382,38.81,83.79,42.28,DRIVING,2
32.499,35.55,83.33,39.2,DRIVING,2
32.615,32.45,83.33,34.51,DRIVING,2
32.733,28.59,83.33,34.51,DRIVING,2
32.858,25.45,86.31,26.59,DRIVING,2
32.973,22.19,86.31,27.61,DRIVING,2
33.089,18.73,86.31,27.61,RIGHT_OBSTACLE,3
33.909,18.73,88.15,26.84,RIGHT_OBSTACLE,4
34.729,83.88,55.88,93.26,DRIVING,4
34.849,79.93,54.72,84.3,DRIVING,4
34.969,70.8,54.01,82.52,DRIVING,4
35.088,68.2,51.56,81.6,DRIVING,4
35.207,63.34,50.0,76.28,DRIVING,4
35.324,60.42,47.33,73.9,DRIVING,4
35.442,57.49,44.27,73.88,DRIVING,4
35.559,54.37,40.97,72.96,DRIVING,4
35.676,51.17,38.88,77.38,DRIVING,4
35.792,47.53,35.5,76.89,DRIVING,4
35.908,44.29,32.47,73.02,DRIVING,4
36.024,41.17,30.36,71.09,DRIVING,4
36.139,38.69,29.05,56.61,DRIVING,4
36.253,35.12,33.8,52.45,DRIVING,4
36.367,32.45,32.98,49.71,DRIVING,4
36.481,30.57,17.6,45.25,DRIVING,4
36.592,25.57,13.87,42.59,ADJUST_RIGHT,4
36.903,29.65,12.33,47.89,ADJUST_RIGHT,4
37.216,42.57,27.42,53.69,DRIVING,4
37.329,48.59,30.5,51.66,DRIVING,4
37.444,47.31,32.25,50.73,DRIVING,4
37.559,46.94,30.35,47.4,DRIVING,4
37.672,45.71,29.34,44.37,DRIVING,4
37.786,45.36,31.52,41.74,DRIVING,4
37.9,43.93,30.24,41.75,DRIVING,4
38.013,44.98,30.04,41.75,DRIVING,4
38.127,43.16,29.34,35.53,DRIVING,4
38.24,41.46,29.73,57.89,DRIVING,4
38.354,36.07,26.93,26.44,DRIVING,4
38.466,34.94,25.3,24.99,DRIVING,4
38.578,31.48,24.36,26.49,DRIVING,4
38.689,27.66,23.31,18.04,DRIVING,4
38.8,24.19,22.68,17.09,DRIVING,4
38.91,20.94,21.23,11.14,ADJUST_LEFT,4
39.221,16.66,16.08,19.11,LEFT_OBSTACLE,5
40.031,7.57,18.38,83.11,LEFT_OBSTACLE,6
40.844,99.45,84.35,73.73,DRIVING,6
40.966,76.35,84.25,48.77,DRIVING,6
41.084,73.47,84.17,46.09,DRIVING,6
41.203,72.06,83.3,45.54,DRIVING,6
41.322,69.04,83.67,49.47,DRIVING,6
41.44,66.28,81.55,46.21,DRIVING,6
41.559,62.44,81.57,44.49,DRIVING,6
41.676,59.47,82.11,44.13,DRIVING,6
41.794,55.96,80.75,37.01,DRIVING,6
41.911,53.18,85.92,38.17,DRIVING,6
42.028,49.56,80.09,30.45,DRIVING,6
42.144,46.31,83.73,26.78,DRIVING,6
42.26,43.45,77.62,25.04,DRIVING,6
42.375,39.93,80.55,22.51,DRIVING,6
42.49,36.33,78.98,20.2,DRIVING,6
42.605,33.05,76.18,34.8,DRIVING,6
42.72,29.9,82.09,17.97,DRIVING,6
42.834,26.52,73.0,28.49,DRIVING,6
42.949,23.83,72.84,27.61,DRIVING,6
43.063,20.64,76.82,22.85,DRIVING,6
43.176,17.43,69.55,22.61,RIGHT_OBSTACLE,7
43.99,17.43,61.63,10.85,RIGHT_OBSTACLE,8
44.809,65.52,61.63,61.63,DRIVING,8
44.93,59.76,61.63,61.3,DRIVING,8
45.05,58.34,61.63,59.23,DRIVING,8
45.17,59.82,61.63,57.43,DRIVING,8
45.291,54.42,61.63,53.87,DRIVING,8
45.41,51.92,61.63,51.37,DRIVING,8
45.53,49.61,61.63,48.42,DRIVING,8
45.648,46.0,91.65,45.85,DRIVING,8
45.766,42.96,91.65,44.3,DRIVING,8
45.884,38.52,91.65,39.37,DRIVING,8
46.002,36.19,99.45,40.46,DRIVING,8
46.118,34.0,87.28,32.35,DRIVING,8
46.234,32.81,87.21,27.86,DRIVING,8
46.35,29.55,88.83,24.7,DRIVING,8
46.465,26.81,86.11,21.9,DRIVING,8
46.579,23.97,88.98,23.44,DRIVING,8
46.694,20.89,70.18,17.1,DRIVING,8
46.807,17.85,71.74,21.59,RIGHT_OBSTACLE,9
47.621,73.49,81.91,89.39,DRIVING,9
47.741,72.76,82.84,84.0,DRIVING,9
47.862,72.37,76.81,87.02,DRIVING,9
47.983,70.82,75.05,86.07,DRIVING,9
48.103,67.23,70.96,81.09,DRIVING,9
48.223,64.12,71.16,74.19,DRIVING,9
48.342,60.18,65.59,76.93,DRIVING,9
48.46,56.39,65.52,70.31,DRIVING,9
48.579,52.34,60.96,72.16,DRIVING,9
48.696,49.13,58.97,70.04,DRIVING,9
48.814,46.07,57.27,53.16,DRIVING,9
48.929,42.38,54.74,44.35,DRIVING,9
49.044,39.71,52.28,40.61,DRIVING,9
49.159,36.62,50.66,36.52,DRIVING,9
49.272,33.46,47.89,33.27,DRIVING,9
49.386,31.28,47.33,30.62,DRIVING,9
49.5,30.79,42.82,28.25,DRIVING,9
49.612,26.1,41.58,26.71,DRIVING,9
49.724,21.85,37.5,21.18,DRIVING,9
49.836,19.52,40.02,17.8,RIGHT_OBSTACLE,10
50.647,33.29,61.47,35.5,DRIVING,10
50.761,67.61,82.4,35.33,DRIVING,10
50.879,65.65,80.5,35.33,DRIVING,10
50.997,65.28,79.54,27.13,DRIVING,10
51.113,62.44,76.6,24.45,DRIVING,10
51.229,60.13,74.15,23.15,DRIVING,10
51.345,58.46,71.57,54.6,DRIVING,10
51.463,55.98,69.77,20.91,DRIVING,10
51.578,54.77,69.17,50.2,DRIVING,10
51.695,56.46,71.28,45.2,DRIVING,10
51.812,54.74,63.31,43.76,DRIVING,10
51.929,52.05,65.89,42.48,DRIVING,10
52.044,50.2,57.92,40.99,DRIVING,10
52.16,48.86,56.92,39.9,DRIVING,10
52.275,47.75,52.41,42.06,DRIVING,10
52.39,43.61,49.86,37.54,DRIVING,10
52.505,39.17,46.07,36.99,DRIVING,10
52.619,37.33,45.75,35.46,DRIVING,10
52.732,38.62,55.85,30.6,DRIVING,10
52.846,30.69,54.15,28.02,DRIVING,10
52.96,27.42,32.88,26.25,DRIVING,10
53.071,24.68,29.12,23.56,DRIVING,10
53.183,22.05,26.72,21.01,DRIVING,10
53.294,18.97,24.29,18.28,RIGHT_OBSTACLE,11
54.104,40.61,85.78,18.39,DRIVING,11
54.219,40.46,86.11,17.97,DRIVING,11
54.334,39.53,83.66,16.37,DRIVING,11
54.449,38.4,82.09,16.44,DRIVING,11
54.563,36.62,80.17,32.42,DRIVING,11
54.679,36.62,78.27,30.28,DRIVING,11
54.803,36.62,75.8,28.25,DRIVING,11
54.925,78.68,74.65,25.76,DRIVING,11
55.042,73.1,71.62,24.02,DRIVING,11
55.158,71.47,69.05,21.96,DRIVING,11
55.275,74.73,66.44,20.28,DRIVING,11
55.391,66.42,64.67,18.28,DRIVING,11
55.506,60.3,60.18,15.84,DRIVING,11
55.621,57.75,56.8,14.31,ADJUST_LEFT,11
55.936,50.39,62.53,18.28,DRIVING,11
56.05,48.48,59.94,55.4,DRIVING,11
56.166,47.31,82.88,48.65,DRIVING,11
56.284,42.36,83.67,45.42,DRIVING,11
56.4,39.64,85.59,43.57,DRIVING,11
56.517,35.9,85.32,44.35,DRIVING,11
56.633,32.62,85.32,34.63,DRIVING,11
56.751,29.09,85.32,32.71,DRIVING,11
56.867,25.74,85.32,28.14,DRIVING,11
56.984,22.71,85.32,24.5,DRIVING,11
57.1,19.33,85.32,26.35,RIGHT_OBSTACLE,12
57.915,88.69,88.42,27.37,DRIVING,12
58.034,87.43,88.64,27.37,DRIVING,12
58.158,86.9,86.94,27.37,DRIVING,12
58.28,82.35,84.25,27.37,DRIVING,12
58.402,80.36,84.03,97.12,DRIVING,12
58.525,76.33,78.29,94.15,DRIVING,12
58.646,72.91,76.26,91.0,DRIVING,12
58.767,69.63,76.16,89.22,DRIVING,12
58.888,65.23,69.8,85.41,DRIVING,12
59.008,61.74,64.79,79.07,DRIVING,12
59.126,58.34,63.05,70.74,DRIVING,12
59.244,54.91,60.2,60.11,DRIVING,12
59.361,51.46,58.12,55.3,DRIVING,12
59.478,48.01,55.1,53.38,DRIVING,12
59.593,44.64,51.43,47.45,DRIVING,12
59.709,41.36,51.0,42.64,DRIVING,12
59.824,38.1,47.84,39.56,DRIVING,12
59.937,35.31,50.2,36.28,DRIVING,12
60.051,32.45,45.07,33.07,DRIVING,12
60.165,29.73,43.45,30.11,DRIVING,12
60.277,28.66,39.92,33.68,DRIVING,12
