time,distF,distL,distR,distSL,distSR,status,obstacle_count
15.993,87.62,77.84,86.94,34.43,27.42,DRIVING,0
16.124,87.26,76.33,86.17,34.36,27.64,DRIVING,0
16.254,86.12,75.33,83.62,34.34,27.76,DRIVING,0
16.385,83.4,72.76,82.74,34.12,28.37,DRIVING,0
16.515,73.15,70.6,81.65,33.76,68.54,DRIVING,0
16.646,67.56,67.61,86.11,33.17,70.14,DRIVING,0
16.778,63.92,64.87,76.91,32.56,53.19,DRIVING,0
16.907,61.01,35.38,56.66,31.69,53.24,DRIVING,0
17.033,58.53,33.49,69.55,30.79,51.77,DRIVING,0
17.159,53.84,32.28,66.4,30.12,50.71,DRIVING,0
17.285,49.15,30.26,60.15,29.02,65.94,DRIVING,0
17.411,46.0,28.7,58.28,27.3,70.09,DRIVING,0
17.537,42.13,26.88,54.64,26.33,83.28,DRIVING,0
17.662,38.08,25.62,50.85,24.92,80.1,DRIVING,0
17.787,34.07,24.0,47.09,23.95,73.24,DRIVING,0
17.911,30.09,21.95,44.83,22.24,72.39,DRIVING,0
18.034,26.52,19.72,41.74,20.5,79.34,DRIVING,0
18.157,23.95,18.21,38.28,19.19,78.85,DRIVING,0
18.28,19.99,15.83,34.92,17.41,79.1,LEFT_OBSTACLE,1
19.102,74.49,32.22,65.04,21.22,69.17,DRIVING,1
19.229,73.19,32.42,74.9,28.05,68.53,DRIVING,1
19.358,71.59,31.38,77.84,33.35,68.17,DRIVING,1
19.486,68.88,30.12,75.0,31.91,70.19,DRIVING,1
19.615,64.92,28.8,72.22,30.31,66.23,DRIVING,1
19.742,62.44,27.8,69.17,28.8,57.51,DRIVING,1
19.869,59.53,26.54,66.13,27.27,59.82,DRIVING,1
19.995,51.22,25.23,62.42,25.76,64.36,DRIVING,1
20.12,47.46,24.36,53.09,24.48,65.28,DRIVING,1
20.245,43.93,23.55,57.66,23.17,70.48,DRIVING,1
20.37,39.59,23.31,53.99,21.98,54.77,DRIVING,1
20.494,35.77,23.26,32.83,20.5,52.46,DRIVING,1
20.616,31.99,22.54,31.6,19.43,65.16,DRIVING,1
20.738,28.25,37.91,44.69,18.31,65.99,DRIVING,1
20.861,25.38,20.26,37.76,16.98,54.03,DRIVING,1
20.982,22.95,19.45,38.35,16.52,81.62,DRIVING,1
21.105,18.68,18.65,33.9,15.27,79.31,LEFT_OBSTACLE,2
21.926,39.17,15.3,62.14,25.57,89.84,DRIVING,2
22.052,47.31,14.23,60.69,26.98,87.3,LEFT_OBSTACLE,3
22.879,96.27,62.71,64.91,53.94,63.02,DRIVING,3
23.011,97.48,62.93,62.36,56.41,63.97,DRIVING,3
23.143,97.6,59.14,61.59,64.45,63.97,DRIVING,3
