time,distF,distL,distR,distSL,distSR,status,obstacle_count
23.229,75.56,75.33,86.29,31.5,29.9,DRIVING,0
23.359,75.72,73.58,92.53,31.08,30.07,DRIVING,0
23.488,72.83,72.28,85.88,30.91,31.74,DRIVING,0
23.618,71.28,70.14,83.4,30.62,32.22,DRIVING,0
23.747,69.14,69.04,82.26,30.18,34.7,DRIVING,0
23.876,66.42,65.2,85.1,29.84,55.61,DRIVING,0
24.005,61.0,32.28,58.94,29.0,60.61,DRIVING,0
24.132,56.36,31.33,55.17,27.76,55.61,DRIVING,0
24.257,52.87,28.95,49.95,27.22,54.26,DRIVING,0
24.382,49.79,27.8,67.54,25.74,56.61,DRIVING,0
24.507,47.23,26.18,48.62,24.65,55.3,DRIVING,0
24.631,44.68,24.82,50.66,23.82,65.57,DRIVING,0
24.756,38.22,23.41,53.92,22.51,77.3,DRIVING,0
24.881,33.83,21.83,48.52,21.15,74.94,DRIVING,0
25.005,30.21,20.77,46.09,19.55,74.27,DRIVING,0
25.127,26.64,19.11,42.81,18.12,74.26,DRIVING,0
25.25,23.61,16.98,39.19,16.93,81.23,DRIVING,0
25.373,20.06,14.81,35.96,15.27,81.5,LEFT_OBSTACLE,1
26.194,74.92,34.56,80.61,26.57,64.14,DRIVING,1
26.323,74.66,35.28,84.71,36.21,66.05,DRIVING,1
26.452,73.52,34.92,53.57,35.07,66.16,DRIVING,1
26.58,70.99,34.71,53.74,33.76,50.52,DRIVING,1
26.706,67.9,34.22,76.74,33.0,50.29,DRIVING,1
26.834,66.11,34.97,72.88,32.28,49.5,DRIVING,1
26.961,63.09,63.02,72.16,32.2,47.48,DRIVING,1
27.089,62.19,59.7,71.47,31.14,48.33,DRIVING,1
27.218,59.35,56.42,73.07,30.86,58.99,DRIVING,1
27.346,45.34,52.75,68.31,30.31,57.27,DRIVING,1
27.473,40.6,49.28,69.09,30.02,62.25,DRIVING,1
27.6,37.67,46.8,60.93,29.78,75.12,DRIVING,1
27.727,33.88,43.93,56.95,29.7,43.28,DRIVING,1
27.851,40.43,32.81,56.78,29.53,44.64,DRIVING,1
27.975,37.76,27.64,53.04,29.31,53.47,DRIVING,1
28.099,33.88,24.82,48.45,29.29,52.53,DRIVING,1
28.223,30.86,34.94,45.32,29.07,50.39,DRIVING,1
28.346,27.78,20.33,42.93,29.0,51.95,DRIVING,1
28.468,24.75,14.06,38.13,29.05,54.55,LEFT_OBSTACLE,2
29.29,59.7,37.37,51.26,28.9,58.41,DRIVING,2
29.415,51.82,44.93,79.24,32.28,46.38,DRIVING,2
29.543,59.87,49.42,77.83,31.86,75.68,DRIVING,2
29.672,42.79,47.97,75.67,33.76,45.97,DRIVING,2
29.799,40.65,47.16,82.6,36.64,47.55,DRIVING,2
29.926,60.61,47.16,79.76,39.19,74.49,DRIVING,2
30.055,32.79,47.26,76.84,42.33,73.13,DRIVING,2
30.183,27.51,45.85,72.4,41.84,72.47,DRIVING,2
30.311,26.4,41.19,68.83,42.98,62.1,DRIVING,2
30.437,22.3,38.51,72.93,42.69,61.1,DRIVING,2
30.563,43.33,35.38,68.54,41.31,69.41,DRIVING,2
30.691,38.44,34.27,68.31,39.29,65.93,DRIVING,2
