time,dist,distLeft,distRight,direction,status
15.633,58.46,-1,-1,-1,DRIVING
15.721,59.86,-1,-1,-1,DRIVING
15.809,68.87,-1,-1,-1,DRIVING
15.898,57.29,-1,-1,-1,DRIVING
15.985,64.67,-1,-1,-1,DRIVING
16.074,61.76,-1,-1,-1,DRIVING
16.162,59.91,-1,-1,-1,DRIVING
16.25,57.94,-1,-1,-1,DRIVING
16.338,55.52,-1,-1,-1,DRIVING
16.427,53.79,-1,-1,-1,DRIVING
16.514,52.00,-1,-1,-1,DRIVING
16.602,48.84,-1,-1,-1,DRIVING
16.689,47.19,-1,-1,-1,DRIVING
16.777,45.65,-1,-1,-1,DRIVING
16.864,43.66,-1,-1,-1,DRIVING
16.951,40.90,-1,-1,-1,DRIVING
17.038,39.24,-1,-1,-1,DRIVING
17.125,36.36,-1,-1,-1,DRIVING
17.211,34.66,-1,-1,-1,DRIVING
17.298,33.42,-1,-1,-1,DRIVING
17.385,30.92,-1,-1,-1,DRIVING
17.471,28.32,-1,-1,-1,DRIVING
17.557,26.23,-1,-1,-1,DRIVING
17.643,24.63,-1,-1,-1,DRIVING
17.729,22.05,-1,-1,-1,DRIVING
17.815,20.30,-1,-1,-1,DRIVING
17.901,18.28,24.87,20.94,LEFT,OBSTACLE
20.304,66.52,-1,-1,-1,DRIVING
20.392,67.81,-1,-1,-1,DRIVING
20.482,67.41,-1,-1,-1,DRIVING
20.57,66.93,-1,-1,-1,DRIVING
20.659,65.20,-1,-1,-1,DRIVING
20.747,64.16,-1,-1,-1,DRIVING
20.835,63.29,-1,-1,-1,DRIVING
20.924,61.69,-1,-1,-1,DRIVING
21.012,61.27,-1,-1,-1,DRIVING
21.1,59.72,-1,-1,-1,DRIVING
21.188,59.59,-1,-1,-1,DRIVING
21.276,64.26,-1,-1,-1,DRIVING
21.364,64.72,-1,-1,-1,DRIVING
21.452,60.93,-1,-1,-1,DRIVING
21.541,59.08,-1,-1,-1,DRIVING
21.629,57.60,-1,-1,-1,DRIVING
21.718,59.43,-1,-1,-1,DRIVING
21.806,57.83,-1,-1,-1,DRIVING
21.893,56.47,-1,-1,-1,DRIVING
21.981,54.59,-1,-1,-1,DRIVING
22.069,47.26,-1,-1,-1,DRIVING
22.156,44.12,-1,-1,-1,DRIVING
22.243,43.50,-1,-1,-1,DRIVING
22.331,40.60,-1,-1,-1,DRIVING
22.417,38.11,-1,-1,-1,DRIVING
22.504,39.54,-1,-1,-1,DRIVING
22.591,41.28,-1,-1,-1,DRIVING
22.678,33.35,-1,-1,-1,DRIVING
22.765,30.86,-1,-1,-1,DRIVING
22.851,28.92,-1,-1,-1,DRIVING
22.937,26.89,-1,-1,-1,DRIVING
23.023,24.45,-1,-1,-1,DRIVING
23.109,23.09,-1,-1,-1,DRIVING
23.195,21.51,-1,-1,-1,DRIVING
23.281,20.71,-1,-1,-1,DRIVING
23.367,23.21,-1,-1,-1,DRIVING
23.453,19.30,12.56,18.87,RIGHT,OBSTACLE
25.857,71.50,-1,-1,-1,DRIVING
25.946,68.83,-1,-1,-1,DRIVING
26.034,66.83,-1,-1,-1,DRIVING
26.123,65.45,-1,-1,-1,DRIVING
26.211,64.02,-1,-1,-1,DRIVING
26.299,61.52,-1,-1,-1,DRIVING
26.388,59.53,-1,-1,-1,DRIVING
26.476,57.29,-1,-1,-1,DRIVING
26.564,55.34,-1,-1,-1,DRIVING
26.651,53.33,-1,-1,-1,DRIVING
26.739,51.32,-1,-1,-1,DRIVING
26.827,49.45,-1,-1,-1,DRIVING
26.914,47.86,-1,-1,-1,DRIVING
27.001,45.31,-1,-1,-1,DRIVING
27.089,43.38,-1,-1,-1,DRIVING
27.176,41.38,-1,-1,-1,DRIVING
27.264,39.00,-1,-1,-1,DRIVING
27.35,36.92,-1,-1,-1,DRIVING
27.437,35.26,-1,-1,-1,DRIVING
27.524,33.25,-1,-1,-1,DRIVING
27.61,31.16,-1,-1,-1,DRIVING
27.697,28.83,-1,-1,-1,DRIVING
27.783,27.08,-1,-1,-1,DRIVING
27.869,24.84,-1,-1,-1,DRIVING
27.955,22.66,-1,-1,-1,DRIVING
28.041,20.54,-1,-1,-1,DRIVING
28.127,18.51,13.94,41.38,RIGHT,OBSTACLE
30.531,76.98,-1,-1,-1,DRIVING
30.62,77.64,-1,-1,-1,DRIVING
30.709,80.90,-1,-1,-1,DRIVING
30.799,76.35,-1,-1,-1,DRIVING
30.888,74.92,-1,-1,-1,DRIVING
30.978,78.66,-1,-1,-1,DRIVING
31.067,72.08,-1,-1,-1,DRIVING
31.155,71.52,-1,-1,-1,DRIVING
31.244,73.52,-1,-1,-1,DRIVING
31.333,73.80,-1,-1,-1,DRIVING
31.422,70.74,-1,-1,-1,DRIVING
31.51,67.69,-1,-1,-1,DRIVING
31.599,70.38,-1,-1,-1,DRIVING
31.688,67.63,-1,-1,-1,DRIVING
31.776,66.67,-1,-1,-1,DRIVING
31.865,66.74,-1,-1,-1,DRIVING
31.953,63.19,-1,-1,-1,DRIVING
32.041,70.60,-1,-1,-1,DRIVING
32.131,69.77,-1,-1,-1,DRIVING
32.219,64.28,-1,-1,-1,DRIVING
32.308,62.19,-1,-1,-1,DRIVING
32.396,60.76,-1,-1,-1,DRIVING
32.484,40.65,-1,-1,-1,DRIVING
32.571,38.11,-1,-1,-1,DRIVING
32.658,36.16,-1,-1,-1,DRIVING
32.744,61.06,-1,-1,-1,DRIVING
32.833,60.03,-1,-1,-1,DRIVING
32.921,30.09,-1,-1,-1,DRIVING
33.007,27.20,-1,-1,-1,DRIVING
33.093,25.82,-1,-1,-1,DRIVING
33.179,23.39,-1,-1,-1,DRIVING
33.265,21.49,-1,-1,-1,DRIVING
33.351,19.30,42.86,36.09,LEFT,OBSTACLE
35.757,37.64,-1,-1,-1,DRIVING
35.844,39.07,-1,-1,-1,DRIVING
35.93,38.42,-1,-1,-1,DRIVING
36.017,37.06,-1,-1,-1,DRIVING
36.104,36.86,-1,-1,-1,DRIVING
36.191,40.02,-1,-1,-1,DRIVING
36.278,33.13,-1,-1,-1,DRIVING
36.364,31.42,-1,-1,-1,DRIVING
36.45,31.52,-1,-1,-1,DRIVING
36.537,34.10,-1,-1,-1,DRIVING
36.623,33.13,-1,-1,-1,DRIVING
36.71,29.56,-1,-1,-1,DRIVING
36.796,27.56,-1,-1,-1,DRIVING
36.882,26.59,-1,-1,-1,DRIVING
36.968,24.26,-1,-1,-1,DRIVING
37.054,23.19,-1,-1,-1,DRIVING
37.14,21.83,-1,-1,-1,DRIVING
37.226,18.28,49.35,12.39,LEFT,OBSTACLE
39.63,65.67,-1,-1,-1,DRIVING
