time,dist,distLeft,distRight,direction,status
12.949,57.32,-1,-1,-1,DRIVING
13.487,49.45,-1,-1,-1,DRIVING
14.024,35.68,-1,-1,-1,DRIVING
14.561,22.25,-1,-1,-1,DRIVING
15.096,4.42,26.06,2.26,LEFT,OBSTACLE
17.946,28.02,-1,-1,-1,DRIVING
18.482,18.56,33.07,8.47,LEFT,OBSTACLE
21.335,31.23,-1,-1,-1,DRIVING
21.871,25.52,-1,-1,-1,DRIVING
22.407,11.07,11.39,12.50,RIGHT,OBSTACLE
25.26,9.84,8.19,23.17,RIGHT,OBSTACLE
28.11,74.41,-1,-1,-1,DRIVING
28.649,70.21,-1,-1,-1,DRIVING
29.188,57.09,-1,-1,-1,DRIVING
29.726,45.25,-1,-1,-1,DRIVING
30.263,34.61,-1,-1,-1,DRIVING
30.799,23.39,-1,-1,-1,DRIVING
31.336,18.04,8.16,16.37,RIGHT,OBSTACLE
34.188,76.40,-1,-1,-1,DRIVING
34.726,69.90,-1,-1,-1,DRIVING
35.265,54.52,-1,-1,-1,DRIVING
35.804,40.85,-1,-1,-1,DRIVING
36.34,27.69,-1,-1,-1,DRIVING
36.877,16.37,26.71,9.37,LEFT,OBSTACLE
39.728,33.78,-1,-1,-1,DRIVING
40.264,25.82,-1,-1,-1,DRIVING
40.801,12.55,71.69,19.87,LEFT,OBSTACLE
43.657,67.00,-1,-1,-1,DRIVING
44.195,58.60,-1,-1,-1,DRIVING
44.733,52.62,-1,-1,-1,DRIVING
45.271,40.68,-1,-1,-1,DRIVING
45.807,29.04,-1,-1,-1,DRIVING
46.344,55.73,-1,-1,-1,DRIVING
46.881,49.57,-1,-1,-1,DRIVING
47.419,3.66,40.68,3.06,LEFT,OBSTACLE
50.27,38.40,-1,-1,-1,DRIVING
50.806,31.35,-1,-1,-1,DRIVING
51.343,24.58,-1,-1,-1,DRIVING
51.878,70.87,-1,-1,-1,DRIVING
52.417,3.18,8.84,4.03,LEFT,OBSTACLE
55.265,54.16,-1,-1,-1,DRIVING
55.802,47.52,-1,-1,-1,DRIVING
56.34,37.89,-1,-1,-1,DRIVING
56.877,21.30,-1,-1,-1,DRIVING
57.412,10.54,5.49,13.50,RIGHT,OBSTACLE
60.264,22.61,-1,-1,-1,DRIVING
60.8,19.04,12.39,21.39,RIGHT,OBSTACLE
63.653,75.96,-1,-1,-1,DRIVING
64.192,68.90,-1,-1,-1,DRIVING
64.731,57.19,-1,-1,-1,DRIVING
65.269,46.63,-1,-1,-1,DRIVING
65.806,37.01,-1,-1,-1,DRIVING
66.343,31.35,-1,-1,-1,DRIVING
66.879,18.33,11.56,30.91,RIGHT,OBSTACLE
69.734,73.52,-1,-1,-1,DRIVING
70.273,66.05,-1,-1,-1,DRIVING
70.811,51.54,-1,-1,-1,DRIVING
71.349,38.11,-1,-1,-1,DRIVING
71.885,25.07,-1,-1,-1,DRIVING
72.422,14.23,13.70,9.47,LEFT,OBSTACLE
